ID,LogFC_x_Cha,LogFC_x_Man,LogFC_x_Kow,LogFC_x_Nor,LogFC_x_Mar,LogFC_x_Wah,LogFC_x_Fla,LogFC_x_Laz,LogFC_x_Ber,LogFC_x_Gro,LogFC_x_Sun,LogFC_x_Kir,Mean,Stdev,Gene,Counts
440,1.0067753673,,,,1.0970567388,,,,1.2463915496,,1.60676905,,1.2392481764249998,0.2641872014374033,S100a6,4
441,,,,,-1.8254172549,,-1.67289741101667,,,-0.6813394198,-1.4887642315,,-1.4171045793041677,0.5094554902052285,Socs2,4
442,,,,-2.2386772204,,-1.5960079913,-0.693399762083337,,-0.9946678482,,,,-1.3806882054958343,0.684077208252146,Csf2rb,4
444,,,,0.6781905583,0.4456798912,,,,0.4854405363,,0.5750145708,,0.54608138915,0.10335655986095642,Trpc6,4
445,,,,1.9840084213,2.0160028969,1.959249996,,,,,1.1881767638,,1.7868595195,0.3997974050473013,Meis2,4
446,,,,1.2839948961,0.6595112704,1.1175102482,,,,,0.786795026,,0.961952860175,0.2887099790276196,Tbc1d8,4
447,,,-0.6133604625,,-0.4837287677,,,,-0.7043316966,,-0.3998405369,,-0.550315365925,0.13511990175398855,Lsp1,4
448,,,-0.4264388355,,-1.1617882686,-1.0940329175,,,-1.1332542013,,,,-0.953878555725,0.352721785797625,Mgst1,4
449,,0.6216854621,,1.2387637704,,,,,,0.3924025091,1.0561274842,,0.82724480645,0.38862046844306397,Exoc6b,4
450,2.6578217048,,1.0001537665,,,,,,1.0618055084,,,1.3800753961,1.52496409395,0.7733694365981223,Zfp36,4
451,,,,,4.5936998553,,,1.129004912,1.0345760992,,2.3900935154,,2.2868435954749997,1.6574086851303234,C4b,4
452,,,,-2.1728945693,-1.6290715311,-1.9205161835,,,,,-1.0489588117,,-1.6928602739,0.4833695048536128,Camk1d,4
453,,,,1.0009558236,0.6855586315,0.8154462684,,,,,0.8715292984,,0.843372505475,0.13078022362634775,Prnp,4
454,,,,1.5837421558,,1.3902027813,,,1.2709371667,1.1027790623,,,1.336915291525,0.2024318356760081,Id2,4
455,,,,1.6692675102,0.9769798081,1.0925904137,,,,,1.5165389378,,1.31384416745,0.3315829421867048,Ocln,4
456,-0.6746698917,,,,,,-0.800846479258338,,-0.9284182346,,-0.7332877047,,-0.7843055775645845,0.10903342960345457,Ect2,4
457,1.0218645874,,,-2.0745215708,,,-1.09082765653333,,,-0.3702909864,,,-0.6284439065833325,1.3032140267657335,Sell,4
459,,,,0.8086871376,1.8426288558,1.3417895302,,,,,0.7309904047,,1.181023982075,0.5179226187115682,Rab34,4
460,,,0.5002741181,1.4958455147,0.7860469775,,,,,,0.8838221992,,0.916497202375,0.4191145586748504,Tox,4
462,,,,1.0927425259,,0.8889184238,0.951749017683332,,,,0.7887112567,,0.9305303060208331,0.12728868697435877,Sema7a,4
463,,,,1.0109137641,,1.1732310991,0.90039719195833,,0.6912001394,,,,0.9439355486395824,0.2023473139540125,Arhgef28,4
465,,,,1.155968516,0.9580779332,,,,0.9330190409,,1.4482904443,,1.1238389836,0.23818062723092384,Lsr,4
466,,,,0.8527500002,1.8953759052,,,,0.8635102721,,1.0022340009,,1.1534675446,0.499268084851497,Myo1e,4
467,,,,1.8357816278,,1.3302176729,,1.1132925486,,,1.1046621264,,1.345988493925,0.3427982163607832,Ptger4,4
471,,,,-1.5003614473,-1.4496055349,,-0.693476037883338,,,,-0.7540245136,,-1.0993668834208346,0.4349224007932144,Plxdc2,4
473,,0.2878818768,0.5836506416,,1.9022427004,,,,,,1.014272636,,0.9470119637000001,0.7032007016088968,Gpx3,4
474,,,,1.2862582474,,0.9675705769,,,0.7791596301,,0.867665631,,0.9751635213500001,0.22121701501496047,Nckap1,4
475,,,,2.3900865222,3.375925439,2.0386766568,,,,,2.2173613231,,2.505512485275,0.5977481760671498,Rgn,4
476,,,,1.164026378,1.8759076606,,,,0.8586774585,,1.4449658101,,1.3358943268,0.4323522947650567,Zfp334,4
477,,,,,-1.2215729601,-1.0865925186,,,-0.5819152328,,-1.1325427761,,-1.0056558719000002,0.28799730637521803,Col4a2,4
478,,,0.2938717902,1.7721542095,,1.1829563041,,,0.6568645362,,,,0.97646171,0.6439042173249577,Phactr1,4
479,,,0.2788029121,,1.3090433128,,,,1.1540817263,,0.7524896753,,0.873604406625,0.4606995274927224,Kcnip3,4
480,,,,1.3173790015,1.2968158764,,,,0.8383654598,,0.5057419571,,0.9895755737,0.3910716720238138,Serpinb8,4
481,,0.3013554348,,,0.8943395218,,,,0.8247532965,,0.7847159147,,0.7012910419499999,0.27044336630229854,Ppp1r16b,4
482,,0.7207004349,,1.3394172533,,1.0453954629,,,,,1.0454423214,,1.037738868125,0.25274571071828106,Vmp1,4
483,,,,1.6627077174,,0.9839378666,,1.1327585283,,,1.2660262818,,1.261357598525,0.29132063838582406,Rdh10,4
487,,,,-0.7984435667,-0.5784669694,-0.8547767021,,,,,-0.8107728933,,-0.7606150328750001,0.12381591969895459,Syk,4
488,-0.8728777674,,-0.4705228737,,-0.710140156,,-1.00059944449167,,,,,,-0.7635350603979175,0.22866460675659991,Anxa2,4
489,,,,,1.3335292286,1.0286780672,,,0.5636557927,,0.826659159,,0.9381305618750001,0.3251646674000106,Dhx40,4
490,,,,,0.567190951,0.8822281911,,,0.6546003648,,0.9274317987,,0.7578628264,0.174393501740639,Tnfsf10,4
491,,,,1.5073410037,1.4888054692,1.6532002931,,,,,1.7004382841,,1.5874462625249999,0.10525785493360099,Asb4,4
492,,,-0.6031808779,-1.0255513016,,,,,,-0.3800735055,-0.5530446624,,-0.64046258685,0.27393892947850146,Mcm5,4
494,,,,,-1.9127153081,,-0.783741554233336,,-1.2399182144,,-1.9132879012,,-1.4624157444833341,0.5526177720933858,Il12rb2,4
495,,,,1.3211588964,0.9965104839,1.3905268497,,,,,0.8488180388,,1.1392535672,0.25881537517225367,Ampd3,4
496,2.6069432651,,,1.4181645611,,,,,0.7716645984,,0.9804325365,,1.4443012402750002,0.8205757796048351,Clec1b,4
497,0.7795335813,,,0.6258016881,0.4652894833,,0.592644506333327,,,,,,0.6158173147583317,0.12922630116094566,Muc13,4
499,,,,1.3896781044,2.1626306999,1.4418349673,,,,,1.4761467612,,1.6175726332,0.3651069326551952,Kdr,4
500,1.5372704033,,,,0.6422258736,,,,0.632782084,,0.4475567467,,0.8149587769000001,0.4898106235223714,Pla2g4a,4
501,,,,2.3246340173,,1.5005555802,,0.8080432452,,,1.2504552873,,1.4709220325,0.6371070481826018,Plcl1,4
