,Gene,Counts,LogFC_Chamb,Adj.P.Val_Chamb,LogFC_Mann_,Adj.P.Val_Mann_,LogFC_Redmo,Adj.P.Val_Redmo,LogFC_Kotov,Adj.P.Val_Kotov,LogFC_Kowal,Adj.P.Val_Kowal,LogFC_Herau,Adj.P.Val_Herau,LogFC_Itoka,Adj.P.Val_Itoka,LogFC_Kim_v,Adj.P.Val_Kim_v,LogFC_Nordd,Adj.P.Val_Nordd,LogFC_Manse,Adj.P.Val_Manse,LogFC_Ali_D,Adj.P.Val_Ali_D,LogFC_Marya,Adj.P.Val_Marya,LogFC_Wahle,Adj.P.Val_Wahle,LogFC_Flach,Adj.P.Val_Flach,LogFC_Young,Adj.P.Val_Young,LogFC_Lazar,Adj.P.Val_Lazar,LogFC_Berse,Adj.P.Val_Berse,LogFC_Grove,Adj.P.Val_Grove,LogFC_Sun_G,Adj.P.Val_Sun_G,LogFC_Kong_,Adj.P.Val_Kong_,LogFC_Kirsc,Adj.P.Val_Kirsc,LogFC_Meng_,Adj.P.Val_Meng_
111,Tdrd9,13,,,,,,,4.33211962038158,1.15903348425555e-41,,,,,4.45981944699788,1.09555795383547e-16,3.21007797193222,3.94315311802114e-05,4.3910289081,0.0018015567,,,4.18013417619137,2.13795035759684e-05,4.9083116096,4.09225929660441e-33,3.559316578,0.0001558626,1.24382672094999,0.0071459567806062,3.73547772370803,8.43433127401003e-06,0.919707332,3.58831380956867e-06,1.8682448217,5.88805041050314e-05,,,3.9651667054,7.56412397105979e-88,3.85473935914785,1.01754353372608e-05,,,,
112,Cpne8,13,,,0.4804626594,0.0084084514,,,1.00663849209278,1.22952506613777e-08,,,,,0.904397519223585,7.82396027629145e-08,1.29576790588347,0.0007964585275746,1.7941145718,0.0080813338,1.78418918865191,0.0002175167543498,,,1.752087647,7.59840392750039e-22,2.4730479592,0.0072177728,,,1.08639829370479,1.12133500981735e-05,,,0.9266096048,0.0046591014,,,1.5039231082,6.552874716771571e-20,1.55635886397471,0.0001627024786402,,,1.9978778115464,0.000786655138839
116,Tmem47,12,2.4741684366,0.0250400461,,,,,1.67396706981729,9.25971858408798e-07,,,,,1.39571454201,0.0012230549772326,,,1.7523951841,0.0096852313,,,3.51917152616645,1.50194398405302e-06,3.1940623244,5.98198607080275e-16,2.4928115995,0.0031169585,1.302897346625,0.0325326691947795,2.31008702620128,9.75176737033824e-06,,,1.7420037973,0.0160790483,,,2.3513811706,1.3985775785056e-23,2.4792748987312,0.000654423861297,,,,
117,Mab21l2,12,,,,,4.36377628755517,0.0001203456218113,8.88322314083205,1.426710867395e-32,,,,,5.42251756475861,3.3920873941432e-51,5.58718126952633,8.05021903985464e-10,2.7492861443,0.0019713716,,,5.03943308630703,1.4277415046607e-08,10.4171402694,2.7565464899458403e-19,,,,,4.35138316452026,1.47192556989974e-08,2.2376049548,9.2329250105138e-07,1.1638452527,0.0350002196,,,5.7889542705,2.36372196109881e-76,6.9789113754419,3.49328225422868e-22,,,,
118,Dnm3,12,,,,,,,2.55195394913839,6.89313999116238e-22,,,,,5.31834530376332,3.01079541645122e-20,,,2.0186626881,0.008062558,,,3.24603124172232,1.46016831107072e-05,2.9137587183,1.98641620197934e-08,1.824222656,0.0011185849,,,4.32525296669455,1.93271713941903e-07,1.2024676001,2.43030154687376e-06,1.6462690766,0.0395441186,0.3873914748,0.0422566233,2.6725618257,5.20517461029307e-37,,,,,11.3598650230208,4.69492276134751e-05
119,Klhl4,12,,,,,,,1.41447098311989,4.50245143618087e-21,,,,,0.780678489158962,0.0006304834675467,1.64002080683643,6.2115277384500205e-09,1.6610936949,0.0025343997,,,,,1.4742605156,2.8370184754604e-27,1.6536906439,0.0035597104,1.50739941753333,0.0117256081505012,,,1.7673362361,7.20734467361485e-11,1.6456271075,0.0045173087,1.2754003542,1.553722079692e-10,1.643495935,9.481910241685511e-20,1.13161988400197,0.0014422761084239,,,,
120,Klrb1c,12,,,0.4508591226,0.0089320283,3.20139029687404,4.52868615490432e-14,2.24821550454183,1.87865537049324e-24,,,,,1.70968994112428,1.2455159932095101e-20,3.61473479117308,1.24334602973202e-27,,,3.00956277145078,1.71530721476357e-07,,,2.1172646041,1.5645924629954599e-12,,,,,3.09666876304778,3.6808338426277e-12,1.7152980199,1.48396242128719e-10,2.5646221613,0.0012943556,,,3.078955288,8.86834701486339e-46,,,,,10.887895322214,6.56523922082525e-22
121,Trim47,12,,,,,1.30628778369152,7.19849826865903e-12,0.931657796627616,9.152324677415761e-10,0.4278308161,1.05402200825048e-09,0.414582259564889,3.2911076058774804e-188,0.63366195713242,3.67018292677919e-06,1.94354284370789,1.9928415041321e-40,1.2997258534,0.0055530539,1.52250402334621,5.2089054245956e-05,,,,,1.2294087157,0.0046040518,,,1.13169879948055,3.68535999140137e-05,,,1.0701596498,0.0469325671,,,1.0431059477,4.0173072522984495e-11,,,,,,
122,Cysltr2,12,,,,,1.50343541341345,4.38278166389891e-06,1.61491426353355,4.2681037066486595e-18,,,,,2.13309677259527,3.32618267432823e-18,1.67599789602653,1.0911931529409601e-10,1.716098835,0.0089402525,1.75824734027159,0.000156259351375,,,,,2.1482207028,0.0012899569,1.24423148716666,0.0267277844505236,1.22153434223627,0.0002629255326316,,,1.8587191274,6.08271714637882e-05,,,,,1.88574362856733,1.40513773375444e-07,0.3948793534,0.0498936639,,
123,Phf11d,12,,,,,2.55370337738405,2.91664172032617e-06,1.74590408125906,2.2694376182175302e-20,,,,,1.45172753208551,1.2519175771633398e-11,,,1.720948635,0.0122688959,1.94343907572052,0.0005328488565708,,,2.1920303954,1.3260447080457699e-12,1.2016643764,0.0139230518,,,,,1.2976427447,6.91010045776799e-05,1.5684858493,0.0120554525,,,2.005525943,5.83978476423529e-29,2.05417066191872,3.49449081076434e-05,,,2.00679285037353,0.000341779083026
124,Dhrs3,12,,,0.7674430375,7.09645590110776e-05,1.873863376137,4.350993435317e-08,0.553854525451445,0.000353853146791,1.1080244724,4.45093201462794e-14,,,1.34969489289238,9.74974292829138e-10,1.6612322939112,1.5974064542757e-06,2.3037493594,0.0082770036,,,,,1.4990898416,7.15536138550687e-06,,,,,,,,,1.4220217427,0.0007155223,0.3255135227,0.0086178695,1.1715414654,3.00557455373366e-11,2.71643659091895,6.89220418612463e-10,,,,
125,H2-Eb1,12,,,,,2.66829587963045,4.23459176071964e-32,1.66663607084412,3.30285304880977e-18,,,0.322553461190638,3.14959282761583e-148,1.43019773410963,2.41363370598157e-23,1.00435264436663,3.6775618860050004e-21,,,2.28388824835985,1.83790109049386e-07,1.58829164489628,0.0002162313761403,,,,,,,2.13860587358486,3.09243923528067e-06,,,2.0784428164,5.92736151080911e-05,0.46429506,2.93599174773551e-05,,,4.14416338556797,7.23987510415038e-21,,,4.01159352496292,0.0004512608435487
